Brand,Color,Price,no_of_star,rating,discount,Ton,annual_electricity_Consumption
Haier,White,38490,3,3.8,42,1.5,1114.71
IFB,White,40490,3,4.2,24,1.6,1123.23
Haier,White,32490,3,4,46,1.2,577.43
Lloyd,White,39999,5,4.2,35,1.5,824.08
Haier,White,42990,5,4.8,50,1.6,1050.84
SAMSUNG,White,32841,5,4.1,50,1.5,1123.23
LG,White,47990,5,4,42,1.5,624.48
Daikin,White,44878,5,4.1,33,1.5,962.49
Lloyd,White,39999,5,4.2,35,1.5,624.48
Daikin,White,37270,3,4.3,32,1.5,1123.77
Godrej,White,32449,3,3.8,33,1.5,686.48
Lloyd,White,26999,3,4.2,43,0.8,704.42
LG,White,31707,5,4.3,35,1.5,1015.62
Godrej,White,32679,3,4.1,33,1.5,968.61
Daikin,White,49499,3,4.2,32,1.8,1114.71
IFB,White,37600,3,4.2,24,1.5,1049.79
Lloyd,White,34999,3,5,27,1.5,752.43
Godrej,White,31999,3,4,33,1.5,1123.23
Hitachi,Gold,34101,5,4,43,1.5,577.43
IFB,White,40999,5,3.8,28,1.5,624.48
CARRIER,White,38490,4,4.1,43,1.5,704.42
Hitachi,Gold,36999,3,4,22,1.5,1134.28
CANDY,White,26990,3,5,30,1.5,589.14
TOSHIBA,White,36593,5,1.5,40,1.5,1015.62
Hitachi,White,57999,4,3.7,39,1.8,968.61
SAMSUNG,White,37900,3,3,41,1.5,1114.71
Godrej,White,31490,3,3.7,30,1.4,1123.23
SAMSUNG,White,40834,5,4.2,39,1.5,824.08
CARRIER,White,67790,3,3.7,33.66,1.5,1050.84
LG,White,49990,5,4.2,39,1.5,1123.23
Daikin,White,45590,5,4.2,38,1.5,1123.77
TOSHIBA,White,43910,5,4,40,1.8,686.48
Daikin,White,43990,1,4.2,28,1.8,704.42
Lloyd,White,42000,5,4.2,39,1.5,1134.28
Hitachi,White,44590,5,4.2,38,1.5,589.14
Daikin,White,31999,3,4.2,8,1.5,968.61
Panasonic,White,49999,5,4.1,34,1.5,1114.71
Hitachi,White,42700,5,3.7,40,1.5,1049.79
Daikin,White,40580,3,4.1,27,1.5,752.43
MarQ,White,25999,3,4,42,0.8,577.43
Voltas,White,44300,5,4.2,37,1.5,824.08
Panasonic,White,37500,5,4.2,33.66,1.5,1123.23
Voltas,White,38499,4,4.2,44,1.5,962.49
Panasonic,White,37500,5,4.2,33.66,1.5,1123.77
SAMSUNG,White,56500,3,4.8,10,1.5,704.42
Lloyd,White,42599,5,4.1,30,1.5,589.14
MarQ,White,24999,3,4.2,43,0.7,968.61
Lloyd,White,36990,3,3.8,39,1.5,1114.71
Hitachi,White,42240,3,4.2,41,1.5,1049.79
Daikin,White,40330,3,4.2,34,1.5,752.43
Hitachi,White,47999,3,4.3,24,1.5,1123.23
Daikin,White,59990,3,4.8,30,2.02,577.43
Daikin,White,39490,3,4.1,32,1.5,824.08
Hitachi,White,48999,3,3.7,33,1.8,1050.84
Hitachi,White,30490,3,4,47,1.5,624.48
LG,White,38990,3,4.2,51,1.5,962.49
Daikin,White,40330,3,4.2,34,1.5,1123.77
Daikin,White,39490,3,4.1,32,1.5,686.48
Lloyd,White,36990,3,3.8,39,1.5,704.42
SAMSUNG,White,36780,3,4.7,39,1.5,1134.28
LG,White,49990,5,4.2,39,1.5,1015.62
IFB,White,41490,4,4.2,24,1.5,1114.71
CARRIER,White,43880,5,4.8,13,1.5,752.43
Panasonic,White,38990,3,4.2,35,1.5,577.43
SAMSUNG,White,36900,3,4.2,41,1.5,1050.84
LG,White,48990,5,4.2,43,1.5,624.48
SAMSUNG,White,45990,5,4.2,11,1.5,962.49
Hitachi,White,35549,2,4.2,34,1.5,624.48
Lloyd,White,38975,4,4.4,35,1.5,1123.77
Voltas,White,35999,3,4.1,47,1.5,686.48
MarQ,White,27990,3,4.2,28,1.5,704.42
Daikin,White,52250,3,3.9,17,1.8,1134.28
Lloyd,White,29590,3,4.8,27,1.5,589.14
SAMSUNG,White,64990,4,4.2,33.66,1.5,1015.62
Blue star,White,43490,3,4.2,37,1.5,968.61
Blue star,White,35699,3,4.1,31,1.5,1114.71
Blue star,White,39399,2,4.2,24,1.5,1049.79
Godrej,White,34899,3,4.2,36,1.5,752.43
Voltas,White,37449,3,3.7,44,1.5,1123.23
Blue star,White,49399,5,4.2,32,1.5,824.08
CARRIER,White,37350,3,4.2,39,1.5,1050.84
LG,White,39699,3,4.8,41,1.5,1123.23
SAMSUNG,White,43990,5,4.2,21,1.5,624.48
Lloyd,White,38975,4,4.4,35,1.5,1123.77
Blue star,White,39890,3,4.8,35,1.5,686.48
Daikin,White,50815,3,4.2,30,1.8,704.42
Sansui,White,31500,3,4.2,45,1.5,1134.28
Panasonic,White,40441,5,4.4,29,1.5,589.14
LG,White,49999,3,4.2,34,1.5,1015.62
Panasonic,White,37200,3,4.1,31,1.5,968.61
realme,White,35499,5,4.2,45,1.5,1114.71
LG,White,45954,4,4.2,36,1.5,1049.79
CANDY,White,33990,5,5,29,1.5,752.43
SAMSUNG,White,44900,5,3.7,38,1.5,577.43
Daikin,White,44800,4,4.2,23,1.5,824.08
Voltas,White,44300,5,4.5,37,1.5,1050.84
Voltas,White,51990,3,4.2,33.66,1.5,1123.23
Panasonic,White,40299,3,4.2,32,1.5,624.48
Daikin,White,44800,4,4.2,23,1.5,624.48
Voltas,White,51990,3,4.2,33.66,1.5,1123.77
Panasonic,White,40299,3,4.2,32,1.5,686.48
CARRIER,White,46990,5,4.2,38,1.5,704.42
MOTOROLA,Silver,37999,3,4.4,18,1.5,589.14
CARRIER,White,39490,4,3.3,42,1.5,1114.71
Godrej,White,39999,5,4.2,27,1.5,1049.79
Blue star,White,33790,3,3.8,24,1.5,752.43
Godrej,White,40800,5,4.5,21,1.5,1123.23
Kelvinator,White,33499,3,4.2,32,1.5,577.43
Hitachi,White,23236,3,3.9,32,1.5,1050.84
CARRIER,White,38680,2,4.2,37,1.5,1123.23
Mitsubishi,White,37500,3,4.2,18,0.8,962.49
Whirlpool,White,43500,3,4.3,20,1.5,624.48
Voltas,White,44500,5,4.3,35,1.5,686.48
Voltas,White,27490,3,4.3,36,1.5,704.42
LG,White,49990,5,4.2,16,1.5,589.14
Hitachi,White,36992,5,4,44,1.5,968.61
CRUISE,White,27990,2,4.2,34,1.5,1114.71
Blue star,White,39490,5,4.2,21,1.5,752.43
Daikin,White,72500,2,4.2,18,2.2,1123.23
Daikin,White,40800,3,4.2,30,1.5,577.43
O-General,White,50598,3,4.2,7,1.7,824.08
Hitachi,White,36992,5,4,44,1.5,624.48
Daikin,White,40800,3,4.2,30,1.5,1123.77
CRUISE,White,27990,2,4.2,34,1.5,686.48
Whirlpool,White,38250,5,4.1,38,1.5,704.42
Blue star,White,35890,3,3.6,41,1.5,1134.28
Voltas,White,25383,5,4.3,26,1.5,968.61
Blue star,White,48700,5,4.2,32,1.5,1114.71
Lloyd,White,27490,3,4.2,42,1.5,752.43
CARRIER,White,46500,5,4.2,41,1.5,1123.23
O-General,White,65999,3,4.2,11,1.5,577.43
Voltas,White,34990,3,4,49,1.5,824.08
Hisense,White,33000,4,4.2,31,1.5,1050.84
Lloyd,White,27490,3,4.3,27,1.5,1123.23
Whirlpool,White,32419,3,4.3,52,1.5,962.49
Voltas,White,42900,5,4.2,37,1.5,624.48
Lloyd,White,48599,5,4.2,36,1.5,1123.77
LG,White,50900,5,4.1,33,1.5,686.48
