Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Lloyd,White,"39,999",5,4,4,2023,1.5,612.82
LG,White,"39,990",5,4,3,2023,1.5,727.66
Blue,White,"50,999",3,3,2,,,785.67
Midea,,"27,999",3,4,4,2023,,857.36
CARRIER,,"35,949",3,4,4,2023,1.5,1216.12
Panasonic,,"37,990",5,4,3,2023,,748.27
CARRIER,,"35,949",3,4,4,2023,1.5,975.26
SAMSUNG,W,"44,499",5,4,3,2023,1.5,940.09
Panasonic,,"35,490",4,4,2,2023,,548.84
Thomson,,"30,499",3,4,3,2023,1.5,761.33
Panasonic,White,"35,576",5,4,3,,,694.03
Godrej,White,"41,409",3,,2,,,966.47
SAMSUNG,White,"36,999",3,4,4,2023,1.5,925.24
Daikin,White,"40,380",3,4,2,,1.5,571.99
Godrej,,"48,990",5,4,2,2023,,751.28
LG,,"33,490",3,4,4,2023,,883.14
IFB,,"37,490",3,4,2,2023,1.5,521.6
CARRIER,White,"37,999",4,4,4,2023,1.5,1002.84
SAMSUNG,Whi,"50,999",3,4,3,2023,,794.34
Panasonic,White,"44,511",3,4,3,,,1002.72
Blue,White,"33,490",5,4,4,,,999.49
Blue,White,"26,990",3,4,1,2023,,854.16
Voltas,White,"34,990",3,4,4,2023,1.5,744.39
Godrej,White,"39,490",5,4,2,,1.5,977.8
Godrej,White,"33,990",3,3,2,2023,1.5,612.82
Lloyd,White,"36,499",4,4,4,2023,1.5,727.66
Voltas,White,"30,470",3,3,4,,,785.67
Godrej,,"30,490",3,4,3,2023,1.5,857.36
Voltas,White,"44,999",3,4,4,2023,,1216.12
CARRIER,White,"28,990",3,4,4,,0.8,748.27
LG,,"33,990",3,4,5,2023,1.2,975.26
Godrej,White,"45,490",3,3,2,2023,,940.09
Lloyd,White,"28,490",3,4,3,,,548.84
Voltas,White,"55,499",5,4,4,2023,,761.33
Voltas,White,"32,999",3,4,5,,1.5,694.03
SAMSUNG,White,"26,951",3,4,5,,1.5,966.47
CARRIER,White,"38,990",3,4,3,,1.5,925.24
LG,,"47,990",3,4,4,2023,1.5,571.99
Blue,White,"35,990",5,4,1,2023,1.5,751.28
Voltas,White,"32,780",3,3,4,,1.5,883.14
Blue,White,"25,490",2,4,1,2023,,521.6
CARRIER,White,"35,589",5,4,5,,1.5,1002.84
LG,,"44,490",5,4,4,2023,1.5,794.34
Panasonic,,"33,490",3,4,3,2023,,1002.72
CARRIER,,"44,990",3,4,4,,,999.49
SAMSUNG,White,"33,999",3,4,3,2023,,854.16
IFB,,"38,490",3,4,2,2023,1.5,744.39
ONIDA,White,"32,990",4,4,4,,1.6,977.8
Whirlpool,,"29,990",3,3,4,2023,,612.82
Lloyd,White,"30,499",3,4,4,,1.2,727.66
SAMSUNG,White,"31,500",3,4,3,2023,,785.67
ONIDA,White,"32,900",3,,2,2023,1.5,857.36
Daikin,White,"37,999",5,4,3,2023,,1216.12
CANDY,White,"32,990",5,4,4,2023,,748.27
IFB,,"42,990",5,4,2,2023,1.5,975.26
Midea,White,"26,990",3,4,4,2023,0.8,940.09
LG,,"50,990",3,4,4,2023,,548.84
Panasonic,,"43,990",3,4,2,2023,1.5,761.33
Panasonic,White,"36,401",3,4,4,,1.5,694.03
Lloyd,White,"29,999",3,4,3,,,966.47
CANDY,White,"27,990",4,4,5,2023,,925.24
Blue,,"40,990",4,4,4,2023,1.5,571.99
Godrej,White,"31,900",3,4,3,,1.5,751.28
Panasonic,White,"32,990",3,4,4,,1.5,883.14
Lloyd,White,"42,790",5,4,2,,1.5,521.6
Blue,,"34,990",4,4,4,2023,,1002.84
LG,,"32,999",5,4,4,2023,,794.34
Panasonic,White,"34,658",5,4,4,,,1002.72
NU,White,"29,990",3,3,3,2023,1.5,999.49
Blue,White,"48,289",5,4,1,2023,1.5,854.16
Lloyd,White,"25,990",3,4,3,,0.8,744.39
IFB,,"31,490",2,4,2,2023,,977.8
LG,,"49,990",5,4,3,2023,1.5,612.82
Lloyd,White,"29,490",3,4,3,2023,1.5,727.66
Panasonic,,"65,990",5,4,2,2023,,785.67
LG,,"49,490",5,4,3,2023,1.5,857.36
Daikin,White,"43,990",1,3,2,,1.8,1216.12
Godrej,,"42,990",3,4,2,2023,,748.27
Panasonic,,"65,990",5,4,2,2023,,975.26
Lloyd,White,"30,990",3,3,3,2023,,940.09
Godrej,,"42,990",3,4,2,2023,,548.84
Daikin,White,"43,990",1,3,2,,1.8,761.33
LG,,"49,490",5,4,3,2023,1.5,694.03
Lloyd,White,"32,999",2,4,4,2023,1.5,966.47
IFB,,"48,490",3,4,2,2023,,925.24
Haier,White,"30,990",3,5,4,,,571.99
Frigidaire,White,"30,999",3,3,4,2023,1.5,751.28
MarQ,,"26,499",3,4,4,,,883.14
LG,White,"46,990",4,4,3,2023,,521.6
Godrej,White,"32,900",3,4,2,,1.5,1002.84
LG,,"44,980",3,4,5,2023,1.5,794.34
Lloyd,White,"31,499",3,3,2,,,1002.72
Lloyd,White,"39,999",5,4,3,,1.5,999.49
Lloyd,White,"33,990",3,4,4,,1.5,854.16
LG,White,"42,140",5,4,2,,1.5,744.39
Hitachi,,"37,215",3,4,3,2023,1.5,977.8
Lloyd,White,"31,490",3,4,4,2023,1.2,612.82
Lloyd,White,"42,599",5,4,3,,1.5,727.66
Panasonic,,"48,990",5,4,2,2023,,785.67
Thomson,White,"39,999",3,4,2,2023,,857.36
ONIDA,White,"28,990",3,4,2,2023,,1216.12
SAMSUNG,White,"32,841",5,4,5,,1.5,748.27
Panasonic,,"48,990",5,4,2,2023,,975.26
LG,,"43,490",5,4,3,2023,,940.09
Midea,,"33,999",3,4,4,2023,1.5,548.84
MarQ,,"26,499",3,4,4,,,761.33
Panasonic,White,"33,486",5,4,3,,,694.03
CARRIER,White,"30,490",5,4,3,,1.5,966.47
MarQ,,"24,999",3,4,4,,0.7,925.24
Panasonic,,"54,990",4,4,2,2023,,571.99
Daikin,White,"36,980",3,4,3,,1.5,751.28
Hitachi,White,"39,990",,3,3,,,883.14
Hitachi,,"37,490",3,3,4,2023,1.5,521.6
Lloyd,White,"28,990",3,4,4,,,1002.84
NU,White,"33,990",5,3,3,2023,1.5,794.34
Haier,,"52,990",3,4,4,2023,,1002.72
CARRIER,White,"42,400",5,3,3,,,999.49
LG,,"31,790",3,4,4,,1.5,854.16
Hitachi,,"31,999",3,3,4,2023,,744.39
Lloyd,White,"34,899",3,4,4,2023,1.5,977.8
Blue,,"30,990",3,4,3,2023,0.9,612.82
Haier,,"33,999",5,4,4,2023,,727.66
Daikin,White,"34,990",3,4,2,,,785.67
MarQ,White,"29,999",3,4,3,,,857.36
TOSHIBA,White,"34,490",3,4,3,,1.5,1216.12
Blue,White,"43,990",5,4,,,1.5,748.27
SAMSUNG,White,"38,990",4,4,4,,1.5,975.26
Midea,,"41,999",3,4,4,2023,,940.09
Daikin,White,"37,290",3,4,3,,1.5,548.84
Lloyd,White,"29,590",3,4,2,,1.5,761.33
SAMSUNG,White,"34,900",3,4,4,2023,1.5,694.03
ONIDA,White,"28,990",3,4,2,2023,,966.47
CARRIER,,"50,990",3,4,3,2023,,925.24
IFB,,"40,490",3,4,2,2023,1.6,571.99
Midea,White,"24,990",3,4,4,,,751.28
Godrej,White,"32,679",3,4,3,,1.5,883.14
Daikin,White,"49,499",3,4,3,2023,1.8,521.6
LG,,"40,490",5,4,3,2023,,1002.84
Haier,White,"32,490",3,4,4,,1.2,794.34
Voltas,White,"47,999",3,4,4,2023,,1002.72
Lloyd,White,"26,999",3,4,4,2023,0.8,999.49
LG,White,"31,707",5,4,3,,1.5,854.16
Hitachi,,"57,999",4,3,3,2023,1.8,744.39
Godrej,White,"32,449",3,3,3,,1.5,977.8
Hitachi,,"42,299",5,3,4,2023,1.5,612.82
Daikin,White,"44,878",5,4,3,,1.5,727.66
Voltas,White,"33,799",3,3,1,,1.5,785.67
Whirlpool,White,"25,867",3,4,5,,1.5,857.36
LG,,"47,990",5,4,4,2023,1.5,1216.12
Voltas,White,"34,989",3,4,4,,1.5,748.27
Voltas,White,"34,989",3,4,4,,1.5,975.26
Blue,White,"39,990",5,4,3,,,940.09
Daikin,White,"43,990",1,,2,,1.8,548.84
Lloyd,Red,"60,990",3,,,,1.5,761.33
Haier,,"38,490",3,3,4,2023,1.5,694.03
Daikin,White,"44,780",5,4,4,,1.5,966.47
Voltas,White,"32,490",3,3,4,2023,,925.24
Haier,,"42,990",5,4,5,2023,1.6,571.99
LG,,"63,490",3,4,2,2023,,751.28
SAMSUNG,White,"29,490",3,4,4,,,883.14
IFB,White,"40,999",5,3,2,,1.5,521.6
Voltas,White,"55,590",5,4,3,,,1002.84
Voltas,White,"35,760",2,3,2,2023,,794.34
SAMSUNG,,"38,900",3,4,3,2023,1.5,1002.72
Daikin,White,"43,490",3,3,2,,1.5,999.49
IFB,White,"37,600",3,,2,,1.5,854.16
CARRIER,,"38,490",4,4,4,,1.5,744.39
Hitachi,Gold,"34,101",5,4,4,,1.5,977.8
Haier,,"30,990",3,4,4,2023,,612.82
ONIDA,White,"38,490",5,4,2,2023,1.5,727.66
MarQ,White,"35,500",5,4,3,,1.5,785.67
LG,White,"49,990",5,,3,2023,1.5,857.36
Midea,,"51,999",5,4,3,2023,,1216.12
LG,White,"36,990",3,,3,,1.5,748.27
TOSHIBA,White,"36,593",5,1,4,,1.5,975.26
Godrej,,"31,490",3,3,3,2023,1.4,940.09
O,White,"41,100",,,1,,1.1,548.84
Godrej,White,"33,900",5,4,3,,,761.33
SAMSUNG,White,"40,834",5,4,3,,1.5,694.03
LG,White,"32,599",3,4,1,,1.5,966.47
ONIDA,White,"31,490",3,4,2,2023,1.5,925.24
Daikin,White,"44,444",5,4,3,,1.5,571.99
SAMSUNG,White,"31,390",3,4,4,2023,,751.28
ONIDA,White,"38,490",5,4,2,2023,1.5,883.14
Hitachi,,"33,999",3,3,3,2023,,521.6
Blue,White,"31,950",3,4,3,,,1002.84
Voltas,White,"44,200",,,4,,,794.34
TOSHIBA,White,"43,910",5,4,4,,1.8,1002.72
CARRIER,,"38,490",4,4,4,,1.5,999.49
Daikin,White,"62,999",3,,2,,2.02,854.16
Lloyd,White,"42,000",5,4,3,2023,1.5,744.39
Blue,White,"29,520",3,4,2,2023,1.5,977.8
Daikin,White,"39,145",3,4,3,,1.5,612.82
CARRIER,White,"32,999",3,4,3,,,727.66
CARRIER,White,"67,790",3,3,,,1.5,785.67
Voltas,White,"44,300",5,,3,,1.5,857.36
Panasonic,White,"29,139",3,4,3,,,1216.12
Whirlpool,White,"32,999",3,4,2,,1.5,748.27
Godrej,White,"29,490",3,4,3,,,975.26
Panasonic,,"57,990",3,4,2,2023,,940.09
Whirlpool,White,"32,999",3,4,2,,1.5,548.84
Blue,White,"51,999",3,,1,,,761.33
SAMSUNG,White,"37,900",3,3,4,2023,1.5,694.03
ONIDA,White,"29,990",3,4,3,,,966.47
MarQ,White,"25,999",3,4,4,,0.8,925.24
Panasonic,,"43,990",4,4,3,2023,1.5,571.99
Hitachi,White,"44,590",5,,3,2023,1.5,751.28
Daikin,White,"40,699",3,4,2,,1.5,883.14
Hitachi,,"38,499",5,3,3,2023,,521.6
Daikin,White,"39,290",5,3,2,,,1002.84
Daikin,White,"45,590",5,,3,,1.5,794.34
Blue,White,"35,990",3,,4,2023,1.5,1002.72
SAMSUNG,,"33,999",3,4,3,2023,,999.49
Hitachi,,"48,999",3,3,3,2023,1.8,854.16
Hitachi,White,"42,240",,,4,,1.5,744.39
Hitachi,White,"36,990",3,3,3,,1.5,977.8
SAMSUNG,White,"43,500",5,4,1,,,612.82
Panasonic,White,"37,500",5,,,,1.5,727.66
Daikin,White,"31,999",3,4,8,,1.5,785.67
SAMSUNG,White,"56,500",3,4,1,,1.5,857.36
Panasonic,,"49,999",5,4,3,2023,1.5,1216.12
Hitachi,White,"42,700",5,3,4,,1.5,748.27
Lloyd,White,"53,999",5,4,3,2023,,975.26
Voltas,White,"35,999",3,4,4,2023,1.5,940.09
SAMSUNG,White,"64,990",4,,,,1.5,548.84
LG,,"37,990",5,4,4,2023,,761.33
CARRIER,White,"29,999",4,4,3,,1.5,694.03
Voltas,White,"32,024",5,4,5,,1.5,966.47
CARRIER,White,"30,450",3,4,3,,1.5,925.24
Blue,White,"29,600",3,,2,2023,1.5,571.99
MOTOROLA,Indoor,"39,999",5,4,3,,1.5,751.28
Blue,White,"59,891",5,2,2,,,883.14
Hitachi,White,"47,999",3,,2,,1.5,521.6
Hitachi,White,"30,490",3,4,4,,1.5,1002.84
Lloyd,White,"47,000",3,4,3,2023,,794.34
MarQ,,"24,999",3,,4,,0.7,1002.72
Blue,White,"59,999",5,4,2,,,999.49
Lloyd,White,"36,990",3,3,3,,1.5,854.16
SAMSUNG,White,"36,900",3,,4,2023,1.5,744.39
Voltas,White,"42,749",3,,4,2023,1.5,977.8
Godrej,White,"31,999",3,4,3,,1.5,612.82
Panasonic,White,"36,590",3,,3,,1.5,727.66
Daikin,White,"40,350",3,,3,,1.5,785.67
Haier,,"49,990",3,4,4,2023,,857.36
SAMSUNG,White,"36,780",3,4,3,2023,1.5,1216.12
Daikin,White,"33,990",,,2,,,748.27
Daikin,White,"33,990",,,2,,,975.26
SAMSUNG,White,"36,780",3,4,3,2023,1.5,940.09
MarQ,White,"20,990",3,4,1,,0.8,548.84
IFB,,"41,490",4,4,2,2023,1.5,761.33
Panasonic,White,"38,990",3,,3,2023,1.5,694.03
Hisense,White,"31,990",5,4,1,,,966.47
Blue,White,"28,499",2,4,2,2023,1.5,925.24
Daikin,White,"59,990",3,4,3,,2.02,571.99
Lloyd,White,"49,500",3,3,2,,,751.28
LG,White,"49,990",5,,3,2023,1.5,883.14
TOSHIBA,White,"30,798",5,4,3,,,521.6
MarQ,White,"15,999",3,4,6,,,1002.84
Voltas,White,"29,200",3,3,4,,,794.34
Daikin,White,"52,250",3,3,1,,1.8,1002.72
Blue,White,"31,490",3,,3,,,999.49
Blue,White,"59,891",5,2,2,,,854.16
SAMSUNG,White,"45,990",5,,1,2023,1.5,744.39
Panasonic,White,"36,139",3,,3,2023,1.5,977.8
Godrej,White,"29,490",3,4,3,,,612.82
Blue,White,"51,490",5,,3,,1.5,727.66
Lloyd,White,"36,999",5,,2,,,785.67
Blue,White,"39,999",3,4,9,,,857.36
Godrej,White,"34,899",,,3,2023,1.5,1216.12
Whirlpool,White,"32,900",3,3,2,,1.5,748.27
CARRIER,White,"43,899",5,4,1,,1.5,975.26
CARRIER,White,"37,350",3,,3,,1.5,940.09
MOTOROLA,Silver,"30,793",3,4,4,,,548.84
LG,White,"48,990",5,,4,2023,1.5,761.33
LG,White,"42,990",3,4,3,,1.5,694.03
Voltas,White,"37,449",3,3,4,,1.5,966.47
Panasonic,White,"36,750",3,4,3,2023,1.5,925.24
SAMSUNG,White,"43,990",5,,2,2023,1.5,571.99
SAMSUNG,White,"45,249",5,5,3,2023,1.5,751.28
Lloyd,White,"29,590",3,4,2,,1.5,883.14
Panasonic,White,"37,200",3,4,3,,1.5,521.6
Hitachi,White,"49,890",4,,3,,1.5,1002.84
Hitachi,Gold,"46,490",5,4,4,,,794.34
Hitachi,,"33,145",3,4,2,2023,,1002.72
LG,White,"49,999",,,3,,1.5,999.49
Hitachi,White,"35,549",2,,3,,1.5,854.16
LG,White,"39,699",,,4,2023,1.5,744.39
Blue,,"39,990",3,,3,2023,1.5,977.8
Blue,White,"35,699",3,4,3,,1.5,612.82
Lloyd,White,"36,999",5,,4,,,727.66
Lloyd,White,"24,990",2,3,3,,,785.67
realme,White,"35,499",5,4,4,2023,1.5,857.36
Lloyd,White,"34,999",3,5,2,,1.5,1216.12
Blue,,"39,399",2,4,2,2023,1.5,748.27
Mitsubishi,White,"55,700",,,1,,1.6,975.26
Voltas,White,"30,449",3,4,4,2023,,940.09
Lloyd,White,"38,975",4,4,3,,1.5,548.84
Blue,White,"40,011",3,,2,,1.5,761.33
Voltas,White,"51,990",3,,,,1.5,694.03
Blue,White,"39,890",3,4,3,,1.5,966.47
Panasonic,White,"40,299",3,,3,2023,1.5,925.24
Daikin,White,"51,190",3,,2,,1.8,571.99
Voltas,White,"44,300",5,4,3,,1.5,751.28
CANDY,White,"33,990",5,5,2,2023,1.5,883.14
Daikin,White,"61,750",5,3,1,,1.8,521.6
Godrej,White,"39,999",5,4,2,,1.5,1002.84
LG,White,"45,954",4,,3,,1.5,794.34
Daikin,White,"33,780",3,,2,,,1002.72
Panasonic,White,"40,441",5,4,2,,1.5,999.49
Sansui,White,"31,500",,,4,2023,1.5,854.16
SAMSUNG,White,"41,000",3,4,1,,,744.39
O,White,"34,299",4,,6,,,977.8
CARRIER,White,"46,990",5,,3,,1.5,612.82
Hitachi,White,"39,799",3,3,3,,1.5,727.66
Hitachi,White,"36,992",5,4,4,,1.5,785.67
Panasonic,White,"32,490",3,,3,,,857.36
CARRIER,White,"38,680",2,,3,,1.5,1216.12
Panasonic,White,"34,950",3,,2,2023,,748.27
Hitachi,White,"39,799",3,3,3,,1.5,975.26
Panasonic,White,"32,490",3,4,3,,,940.09
Voltas,White,"44,300",5,4,3,,1.5,548.84
MOTOROLA,Silver,"37,999",3,4,1,,1.5,761.33
CARRIER,White,"38,680",2,,3,,1.5,694.03
Panasonic,White,"34,950",3,,2,2023,,966.47
O,White,"50,900",2,,7,,,925.24
Whirlpool,White,"43,500",,4,2,,1.5,571.99
SAMSUNG,White,"44,900",5,3,3,,1.5,751.28
Hitachi,White,"23,236",3,3,3,,1.5,883.14
Hitachi,,"32,990",3,4,2,2023,,521.6
TOSHIBA,White,"56,990",5,1,2,,1.5,1002.84
Daikin,White,"56,996",3,3,2,,1.8,794.34
Voltas,White,"48,490",,,3,,,1002.72
CARRIER,White,"39,490",4,3,4,,1.5,999.49
Kelvinator,White,"33,499",3,,3,,1.5,854.16
Voltas,White,"31,990",3,4,3,,,744.39
LG,White,"46,990",5,4,3,,1.5,977.8
O,White,"81,900",5,,5,,,612.82
Blue,White,"33,790",3,3,2,2023,1.5,727.66
Daikin,White,"39,890",,,3,,1.5,785.67
Mitsubishi,White,"37,500",,,1,,0.8,857.36
Panasonic,White,"34,399",3,,1,,1.5,1216.12
Blue,White,"37,999",5,4,3,,,748.27
Blue,White,"39,999",3,4,1,,,975.26
Lloyd,White,"29,989",3,5,1,,,940.09
Hitachi,White,"27,690",2,4,1,2023,,548.84
LG,,"32,990",3,4,5,2023,1.5,761.33
Voltas,White,"44,500",5,4,3,,1.5,694.03
LG,White,"38,250",5,,5,2023,,966.47
SAMSUNG,White,"45,999",3,4,4,,,925.24
CRUISE,White,"27,990",2,,3,,1.5,571.99
Godrej,White,"40,800",5,4,2,,1.5,751.28
Hitachi,White,"49,300",5,2,2,,1.5,883.14
CARRIER,White,"53,400",3,,3,,,521.6
Lloyd,White,"49,490",3,4,3,,,1002.84
Blue,White,"29,999",3,4,2,,1.5,794.34
Lloyd,White,"24,890",2,4,3,2023,,1002.72
LG,White,"49,990",5,,1,,1.5,999.49
Daikin,White,"72,500",2,,1,,2.2,854.16
Hisense,White,"37,490",3,4,4,,,744.39
Whirlpool,White,"38,250",5,4,3,,1.5,977.8
MarQ,,"33,990",5,4,4,,1.5,612.82
Blue,White,"31,500",5,4,1,2023,,727.66
O,White,"50,598",3,,7,,1.7,785.67
realme,White,"30,999",5,4,4,2023,,857.36
Voltas,White,"27,490",3,4,3,,1.5,1216.12
Daikin,White,"40,800",,,3,,1.5,748.27
Voltas,White,"25,383",5,4,2,,1.5,975.26
Lloyd,White,"29,990",2,,3,,,940.09
LG,,"50,900",5,4,3,,1.5,548.84
Panasonic,White,"41,999",4,,3,2023,1.5,761.33
Hitachi,White,"39,800",3,,3,2023,1.5,694.03
